,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1506,58102,29737,"Konstantinos Alexandros ""Kostas"" Douvalidis-Ricks",M,29.0,181.0,78.0,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-4.74,-2.97,2.68
1507,58117,29750,Francis Horace Dove-Edwin,M,21.0,180.0,80.0,Sierra Leone,SLE,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,2.77,7.71,-2.9
1508,58148,29757,Anatoliy Ivanovych Dovhal,M,24.0,174.0,73.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,-3.79,-0.77,-0.61
1509,58245,29800,"Richard ""Rick"" Dowswell",M,21.0,175.0,86.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Javelin Throw,,0,0,-7.5,-1.68,-6.0
1510,58457,29908,Marino Rafael Drake Rodrguez,M,25.0,193.0,73.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,,0,0,3.02,-1.64,1.38
1511,58473,29916,William Santino Dralu,M,25.0,183.0,73.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,6.81,3.34,1.31
1512,58556,29959,Ralf Drecoll,M,20.0,185.0,82.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,,0,0,-0.96,3.78,-2.48
1513,58722,30041,Hamza Al-Driouch,M,17.0,178.0,61.0,Qatar,QAT,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,0,-0.74,-3.77,-7.1
1514,58731,30047,Apisai Driu Baibai,M,21.0,181.0,70.0,Fiji,FIJ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,0.02,-1.78,-3.3
1515,58821,30097,Derek Drouin,M,22.0,196.0,83.0,Canada,CAN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Bronze,1,0,3.11,5.94,-4.17
1516,58822,30097,Derek Drouin,M,26.0,196.0,83.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold,1,1,3.81,7.26,0.3
1517,58858,30123,"Jonathan A. ""Jon"" Drummond",M,27.0,175.0,75.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,-3.28,0.74,2.07
1518,58860,30123,"Jonathan A. ""Jon"" Drummond",M,32.0,175.0,75.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,1,-2.79,1.23,7.39
1519,58880,30135,Guy Drut,M,21.0,188.0,74.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,Silver,1,0,2.61,-1.87,-2.76
1520,58881,30135,Guy Drut,M,25.0,188.0,74.0,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Gold,1,1,3.71,-2.54,-0.17
1521,58931,30155,Aleksey Nikolayevich Dryomin,M,23.0,186.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-0.71,0.06,-2.69
